CURVE,FLAGGED_SAMPLES,ACTION
GR,176,Review with neighbouring depths; do not delete automatically
RHOB,87,Review with neighbouring depths; do not delete automatically
NPHI,84,Review with neighbouring depths; do not delete automatically
DT,198,Review with neighbouring depths; do not delete automatically
PEF,61,Review with neighbouring depths; do not delete automatically
RT,314,Review with neighbouring depths; do not delete automatically
