DEPTH_TOP_M,DEPTH_BASE_M,THICKNESS_M,N_ROWS,ZONE_CHARACTER,SW_MODEL,VSH_MEAN,VSH_MIN,VSH_MAX,PHIE_MEAN,PHIE_MIN,PHIE_MAX,SW_MEAN,SW_MIN,SW_MAX,RT_MEAN,RT_MIN,RT_MAX
2772.6,2772.6,0.1,1,Clean,Archie,0.1182,0.1182,0.1182,0.12,0.12,0.12,0.4823,0.4823,0.4823,2.1673,2.1673,2.1673
2788.8,2795.7,7.0,24,Clean,Archie,0.0592,0.0,0.1244,0.1423,0.0887,0.1727,0.4342,0.3577,0.498,2.1929,0.9305,4.2973
2806.8,2821.8,15.1,22,Clean,Archie,0.0095,0.0,0.0547,0.1319,0.0816,0.1647,0.4594,0.3747,0.4986,2.1896,1.3574,4.6931
3050.7,3064.2,13.6,67,Clean,Archie,0.1055,0.0309,0.262,0.0625,0.0506,0.0797,0.3922,0.284,0.4966,14.0948,8.984,16.7668
