CURVE,LOW_REVIEW_LIMIT,HIGH_REVIEW_LIMIT,FLAGGED_SAMPLES
GR,0.0,300.0,119
RHOB,1.5,3.0,0
NPHI,-0.15,0.75,0
RT,0.0,2000.0,2
DT,40.0,200.0,0
PEF,0.0,20.0,0
