SEGMENT,GROSS_INTERVAL_M,NET_SAND_M,NET_RESERVOIR_M,POSSIBLE_NET_PAY_M,NTG_NET_SAND_OVER_GROSS,VSH_MEAN,PHIE_MEAN,SW_MEAN
Clean,335.0,329.8,158.0,11.4,0.9845,0.1178,0.0541,0.8546
Shalier,165.0,31.8,0.0,0.0,0.1927,0.7022,0.014,0.9835
Whole interval (combined),500.0,361.6,158.0,11.4,0.7232,0.3107,0.0409,0.8907
